variable,valor
arrendsoja113,235.84000000000003
arrendsorgo13,235.84000000000003
arrendsoja213,141.50400000000002
arrendtrigo13,94.33600000000001
arrendcebada13,94.33600000000001
arrendmaiz14,235.84000000000003
arrendgirasol14,235.84000000000003
arrendsoja114,235.84000000000003
arrendsorgo14,235.84000000000003
arrendsoja214,141.50400000000002
arrendtrigo14,94.33600000000001
arrendcebada14,94.33600000000001
arrendmaiz15,235.84000000000003
arrendgirasol15,235.84000000000003
arrendsoja115,235.84000000000003
arrendsorgo15,235.84000000000003
arrendsoja215,141.50400000000002
arrendtrigo15,94.33600000000001
arrendcebada15,94.33600000000001
arrendmaiz16,206.35999999999999
arrendgirasol16,206.35999999999999
arrendsoja116,206.35999999999999
arrendsorgo16,206.35999999999999
arrendsoja216,123.81599999999999
arrendtrigo16,82544
arrendcebada16,82544
